Issue Key,Tipo de Problema,Rework Score,Reopen Count,Backward Moves,QA Returns,Revisitas Status,Conformance Score,Conforme Basico,Lead Time Fluxo (dias),Done Final Author,Done Final Date,Variant
W1NNR-1894,Tarefa,0,0,0,0,0,0.6667,Nao,25.0481,Lorraine Caribe,2026-01-12 19:42:05,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1895,Tarefa,0,0,0,0,0,0.6667,Nao,21.0724,Lorraine Caribe,2026-01-12 19:42:06,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1896,Tarefa,0,0,0,0,0,0.6667,Nao,24.2843,Lorraine Caribe,2026-01-12 19:42:12,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1897,Tarefa,0,0,0,0,0,0.6667,Nao,21.1135,Lorraine Caribe,2026-01-12 19:42:12,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1898,Tarefa,0,0,0,0,0,0.6667,Nao,23.8556,Lorraine Caribe,2026-01-12 19:42:07,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1899,Tarefa,0,0,0,0,0,0.6667,Nao,19.8976,Lorraine Caribe,2026-01-12 19:42:16,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1900,Tarefa,0,0,0,0,0,0.6667,Nao,19.8976,Lorraine Caribe,2026-01-12 19:42:16,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1905,Tarefa,0,0,0,0,0,0.6667,Nao,4.0708,Lorraine Caribe,2025-12-19 19:14:03,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1907,Tarefa,0,0,0,0,0,0.6667,Nao,51.2673,Danilo Monreal,2026-02-06 19:42:52,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1922,Tarefa,0,0,0,0,0,0.6667,Nao,45.0848,Danilo Monreal,2026-02-06 19:42:53,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1933,Tarefa,0,0,0,0,0,0.6667,Nao,16.041,Danilo Monreal,2026-02-06 19:43:11,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1934,Tarefa,0,0,0,0,0,0.6667,Nao,45.0075,Danilo Monreal,2026-02-06 19:42:54,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1935,Tarefa,0,0,0,0,0,0.6667,Nao,39.0871,Danilo Monreal,2026-02-06 19:42:54,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1938,Tarefa,0,0,0,0,0,0.6667,Nao,24.9984,Danilo Monreal,2026-02-06 19:42:55,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1939,Tarefa,0,0,0,0,0,0.6667,Nao,45.9606,Danilo Monreal,2026-02-06 19:42:56,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1940,Tarefa,0,0,0,0,0,0.6667,Nao,31.9692,Danilo Monreal,2026-02-06 19:42:57,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1968,Tarefa,0,0,0,0,0,0.6667,Nao,35.1511,Danilo Monreal,2026-02-06 19:42:57,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
