uuid,build_number,state,created_on,completed_on,ref_name,commit_hash
{b1057261-0305-4184-a5f4-e06240a8b956},78,COMPLETED,2020-02-21T13:59:52.289Z,2020-02-21T14:18:18.271Z,production,a0c9201a536616a6b6163ae3361a5b9d7a5601e1
{d4f74cad-f72a-406f-86e2-7d46edacc1de},79,COMPLETED,2020-02-21T18:36:01.628Z,2020-02-21T18:41:50.426Z,staging,10ffca4df63fddc3f60886566a1cbe8d8178d549
{1f8dfa0b-b1fb-4d82-ae02-c0cf9f473917},80,COMPLETED,2020-02-26T20:23:29.228Z,2020-02-26T20:25:00.729Z,staging,a20696574639cf12e31d2eb6d335154378f5512d
{160fd053-ee04-4aec-877f-8a3ee3e41c58},81,COMPLETED,2020-02-26T20:39:35.308Z,2020-02-26T20:45:43.511Z,staging,8fd6a5933c366d2f31d3205ce80e902e6c1933a3
{86464fae-2639-4b34-a568-60f1df8eee91},82,COMPLETED,2020-02-27T18:32:52.568Z,2020-02-27T18:38:04.517Z,staging,07dfb555a76efefa43f313399817db67cebaf7b9
{58985c78-2b4e-405c-a9d3-a260bec734cb},83,COMPLETED,2020-02-27T20:42:00.674Z,2020-02-27T20:50:27.784Z,production,07dfb555a76efefa43f313399817db67cebaf7b9
{f91c3c79-d72f-488c-b85c-99f9d0f42ffc},84,COMPLETED,2020-02-27T21:28:50.885Z,2020-02-27T21:33:25.597Z,staging,28ebc65ecf5b13b0c0ecb94cdaf355fcb5773182
{6b4e2248-6ae1-4d81-970c-5f879b07bcb5},85,COMPLETED,2020-02-28T13:43:55.306Z,2020-02-28T13:48:16.932Z,staging,f06631b168529527c7a7f96652fd03ff3bf1040c
{8dead179-ae26-4df1-92d1-c8f097953a20},86,COMPLETED,2020-02-28T14:37:51.987Z,2020-02-28T14:46:32.396Z,production,f06631b168529527c7a7f96652fd03ff3bf1040c
{92e7ddbc-7fde-4a52-99b3-831eadbd0ede},87,COMPLETED,2020-03-02T12:59:51.472Z,2020-03-02T13:01:00.331Z,rails-update,c39aed3d382b96bb477d940e24c77d701d2fda07
{e675bf2b-6389-4b46-81d2-71819fff318c},88,COMPLETED,2020-03-02T14:28:22.526Z,2020-03-02T14:39:09.459Z,rails-update,802dc6f4d04798a563b3a3f22224e1e92382bcbd
{9c5e6ebc-791e-41c1-97e5-d51f7d34ab20},89,COMPLETED,2020-03-02T15:00:22.893Z,2020-03-02T15:06:22.355Z,staging,6c0de6add09cf86ef7a06f6b7e18881231caeeea
{6f18ec05-dc42-41a3-afa0-f01539fbd890},90,COMPLETED,2020-03-02T15:15:59.298Z,2020-03-02T15:21:26.553Z,staging,da92911df4cbb388e67f1f733dc8b33694058da4
{bd1351b9-c753-4633-9a23-f78e540c8f2f},91,COMPLETED,2020-03-02T15:23:50.665Z,2020-03-02T15:28:47.104Z,staging,54cf7b4260e84d625befbafdd3ec956c0f95c6e9
{69ebdac5-7c6f-425d-aabd-573f86f5d826},92,COMPLETED,2020-03-03T14:45:13.238Z,2020-03-03T14:54:46.265Z,production,54cf7b4260e84d625befbafdd3ec956c0f95c6e9
{c0b201d4-f6ab-4882-b4cf-086bb8a6acea},93,COMPLETED,2020-03-03T16:25:51.528Z,2020-03-03T16:30:52.385Z,staging,1ade0e8b5d784644da8c7047fa007fb986216f1b
{57014855-854d-40c3-a975-9f7cae86ab90},94,COMPLETED,2020-03-03T17:22:59.068Z,2020-03-03T17:31:12.24Z,production,1ade0e8b5d784644da8c7047fa007fb986216f1b
{b693c43d-5bcf-4a18-9cf3-5aa4031f16c9},95,COMPLETED,2020-03-03T19:02:04.532Z,2020-03-03T19:06:54.46Z,rails-update,67514da043b3839702a622e561a2ae86afbb1641
{a8450a95-2d71-438b-89d0-7382d5d19090},96,COMPLETED,2020-03-09T13:07:50.426Z,2020-03-09T13:13:49.998Z,staging,5c73c350736e09e975fe16acd7b539026309920e
{683d0f8b-d49c-4d6c-8bd0-e863bb4f241f},97,COMPLETED,2020-03-09T14:33:59.066Z,2020-03-09T14:41:41.111Z,staging,68cead1734a790be4f4b8af500e797efa2aab9ff
{8a9cf9e4-f5bd-495a-9d6b-962f0adf8820},98,COMPLETED,2020-03-12T15:25:49.829Z,2020-03-12T15:31:41.031Z,staging,611faa796f745c1518d09532befff61b313dbc90
{6d9da6a8-9f72-40ab-b0d0-c10c8634649c},99,COMPLETED,2020-03-12T19:26:00.71Z,2020-03-12T19:32:55.8Z,staging,e4503b04976012d84bc27b31b3dab3557961f484
{2ec0c361-8267-478e-b193-e6df971ba469},100,COMPLETED,2020-03-13T17:17:44.059Z,2020-03-13T17:28:21.825Z,production,e4503b04976012d84bc27b31b3dab3557961f484
{a64e3484-41aa-4ee6-b771-cef77a64dc1e},101,COMPLETED,2020-03-13T18:57:57.618Z,2020-03-13T19:03:17.358Z,staging,bd321c6709df6ddeba26d1a952efeffc25265825
{a43eaaae-4791-46e1-9e84-01afa9bba440},102,COMPLETED,2020-03-13T19:05:36.985Z,2020-03-13T19:15:56.252Z,production,bd321c6709df6ddeba26d1a952efeffc25265825
{36c5964d-197f-4038-9c48-ba3fa42bf928},103,COMPLETED,2020-03-13T23:54:09.862Z,2020-03-13T23:59:55.682Z,staging,11a49da419a0044fe5d6c64ac67b76cf43e9866a
{4315c7fc-dec2-45c8-a515-a7441741e484},104,COMPLETED,2020-03-14T00:02:39.308Z,2020-03-14T00:11:12.062Z,production,11a49da419a0044fe5d6c64ac67b76cf43e9866a
{33679133-8c38-42a6-9009-3f2097f067ef},105,COMPLETED,2020-03-16T20:11:21.384Z,2020-03-16T20:22:11.363Z,production,f75908482d96b27f37604c98b408c86f90073881
{1f13d42d-215a-4985-8c5f-7547c5056d58},106,COMPLETED,2020-03-17T16:08:39.202Z,2020-03-17T16:15:34.189Z,staging,c40d31253199e22b4fd868cbb604c523e5e3f50d
{209f5df6-89f2-4379-897d-62c5dea43f13},107,COMPLETED,2020-03-18T14:05:42.863Z,2020-03-18T14:12:49.769Z,staging,58229addcbe2b089510dc4d2892bcfac7abc6c8b
{860c9f74-3e4a-49ea-b660-c175c7fd8a02},108,COMPLETED,2020-03-18T16:00:14.943Z,2020-03-18T16:13:18.62Z,production,58229addcbe2b089510dc4d2892bcfac7abc6c8b
{992ecb9f-c877-4524-83a1-1a1902c2ae97},109,COMPLETED,2020-03-18T19:06:52.461Z,2020-03-18T19:18:05.645Z,production,17da3f11915479fe0875c3fadc5aeda3ff2e78a0
{f38f2e40-e84a-4d96-b119-bca4bd49efee},110,COMPLETED,2020-03-18T21:21:46.553Z,2020-03-18T21:26:14.91Z,staging,279df4945bb8cbde56791d5d4657ab5cb4042bdc
{8305f60b-c0f1-4ac5-bfdd-e197a1de5d54},111,COMPLETED,2020-03-19T13:33:22.725Z,2020-03-19T13:44:54.841Z,production,279df4945bb8cbde56791d5d4657ab5cb4042bdc
{5fb09ad2-07b3-4a94-af05-e87370a1b6a7},112,COMPLETED,2020-03-19T17:19:52.684Z,2020-03-19T17:24:32.927Z,staging,386a3050e5e494c9809363432b8b9b3f58470063
{29b4bddc-05db-47c4-bfad-d864680d2423},113,COMPLETED,2020-03-23T19:32:40.951Z,2020-03-23T19:37:39.319Z,staging,21109cef7660081d138eba9beb3482b0d8ea0e2b
{76e3b6fe-2df8-4469-a5a4-303165d27acf},114,COMPLETED,2020-03-24T17:23:38.828Z,2020-03-24T17:36:24.764Z,production,21109cef7660081d138eba9beb3482b0d8ea0e2b
{946645b5-ee0d-43ca-907f-3b20e3888518},115,COMPLETED,2020-03-30T15:13:54.919Z,2020-03-30T15:20:10.297Z,staging,687e4488504966ab3f31384d87b3c99b4f18b5e3
{196c6173-ac06-4595-809e-059c4245732e},116,COMPLETED,2020-03-30T18:43:52.262Z,2020-03-30T18:51:59.963Z,production,687e4488504966ab3f31384d87b3c99b4f18b5e3
{c0081a87-5782-40d5-ba19-da77fa5826c8},117,COMPLETED,2020-04-03T20:25:53.166Z,2020-04-03T20:31:51.656Z,staging,5d94b001b51584e2cfe23e158907435442063fd7
{d38c5654-7a14-40f7-b1c7-a164275e9d43},118,COMPLETED,2020-04-03T21:32:20.909Z,2020-04-03T21:37:26.093Z,staging,49aedde70fcc00115334ea01190e1f99c87c71f4
{bbdcf42e-7ad0-41e5-8e85-4ba26146141a},119,COMPLETED,2020-04-06T15:43:12.458Z,2020-04-06T15:56:07.931Z,production,49aedde70fcc00115334ea01190e1f99c87c71f4
{8409cb2c-0f3f-4595-bc5b-33444b6eb2c9},120,COMPLETED,2020-04-14T12:58:01.05Z,2020-04-14T13:05:11.933Z,staging,74b13f67fa2d22fea34b42127552f1af79ed9118
{79f9b1a2-9734-4dc0-9912-20a24fbaabf6},121,COMPLETED,2020-04-15T13:45:02.732Z,2020-04-15T13:51:36.278Z,staging,097720354dce31cd1b11963fb9236a03dd0f50f4
{06d411d2-678b-4a40-b392-71ac01b94227},122,COMPLETED,2020-04-15T19:49:59.08Z,2020-04-15T19:55:24.156Z,staging,6c884e185717edf39df06a265ab0addd547ce80d
{9f4189ac-8886-4b4a-ac89-cf5d129895e5},123,COMPLETED,2020-04-16T18:07:49.707Z,2020-04-16T18:13:59.005Z,staging,41c1c408856588408cdd26f751a4a607a106d864
{3a6f649b-5f26-4af8-a859-14f0105f7eb9},124,COMPLETED,2020-04-16T18:40:27.046Z,2020-04-16T18:53:05.514Z,production,41c1c408856588408cdd26f751a4a607a106d864
{bf03051b-56c5-4a67-9be1-5a18f6822102},125,COMPLETED,2020-04-16T19:38:34.88Z,2020-04-16T19:43:04.161Z,staging,76747eb1fe2f2c84d211ad40ae691bfb874179b7
{600cd486-237c-410e-92a6-6b011c3bbc3c},126,COMPLETED,2020-04-16T19:44:57.03Z,2020-04-16T19:52:40.265Z,production,76747eb1fe2f2c84d211ad40ae691bfb874179b7
{641f68e3-0364-4fb6-8c63-caebbd1961d4},127,COMPLETED,2020-04-17T01:03:47.395Z,2020-04-17T01:08:53.323Z,staging,2f5a8e7b0fc7f150cf10c30463d48c366082005e
{cebbad75-3cad-4b08-88bd-d857eaba3cd8},128,COMPLETED,2020-04-17T17:14:19.071Z,2020-04-17T17:20:26.435Z,staging,baaa37717404eb5cc86c9ce5511cf54dc689d644
{0325f401-07b9-4346-930d-121ddc947c18},129,COMPLETED,2020-04-17T17:29:39.728Z,2020-04-17T17:38:18.452Z,production,baaa37717404eb5cc86c9ce5511cf54dc689d644
{bfaa7ee5-12ea-4700-96f1-fe56c51141d5},130,COMPLETED,2020-04-20T17:56:36.549Z,2020-04-20T18:07:30.877Z,staging,51880e6bb1943c71e54ca86cad4a5c7bf632cc22
{28d350cd-05c2-44f2-bec3-18b33b483a6e},131,COMPLETED,2020-04-22T13:40:38.715Z,2020-04-22T13:46:28.682Z,rails-update,5c1fc66bcfe8233ab91999eac32620d8d6f954cd
{f984b01e-e043-425e-8d68-122037138999},132,COMPLETED,2020-04-22T13:41:05.532Z,2020-04-22T13:41:43.557Z,staging,cb9aa4854da4def6768c5714d0b09f1bd2faddca
{65d3717f-6c34-4d66-82bd-0bfc9a4ed771},133,COMPLETED,2020-04-22T13:47:18.398Z,2020-04-22T13:58:42.792Z,staging,3f5699d352f8b990dd2d2d0cb83084ff092bd259
{2ff59e99-327c-494c-9297-04dff273d1ff},134,COMPLETED,2020-04-22T20:31:41.876Z,2020-04-22T20:36:38.074Z,staging,dbd8513ae28feece1679527e4ec15cc167e85f97
{68a7bcdc-c6f2-4dba-b29e-3c85aff54d76},135,COMPLETED,2020-04-22T20:56:33.726Z,2020-04-22T21:06:29.428Z,production,dbd8513ae28feece1679527e4ec15cc167e85f97
{40be5270-9f86-4cc9-8aad-c4a64107e4c4},136,COMPLETED,2020-04-24T18:21:13.045Z,2020-04-24T18:26:46.9Z,staging,664143b4430d71bd1aaab83b74ee8b319cee7158
{acfec05a-5f9e-43a1-a2ef-d2353b0baead},137,COMPLETED,2020-04-24T22:50:43.407Z,2020-04-24T22:57:13.793Z,staging,a691c0f0dda5de0e8686036d9c87da1688d17c63
{977f7b57-0afd-4846-af02-92e206821bff},138,COMPLETED,2020-04-28T13:30:28.193Z,2020-04-28T13:36:25.25Z,staging,6ae26a830652ec2f9d212fa6a592a52c5ae30299
